time	ret	ldp	lep	rf	yield
1960.00	-0.0816968075	-3.3738410468	-2.9292361919	0.0302769909	0.0188579115
1960.25	0.0304144594	-3.3904435012	-2.9513187041	0.0219180353	0.0264353941
1960.50	-0.0576738671	-3.3251664606	-2.8851165325	0.0231206460	0.0174560302
1960.75	0.0828421855	-3.4092086185	-2.9638088142	0.0221234615	0.0219938139
1961.00	0.1222965875	-3.5206574955	-3.0746164662	0.0239606374	0.0204925601
1961.25	-0.0043908628	-3.5250011074	-3.0657200050	0.0225146328	0.0216943801
1961.50	0.0294652475	-3.5239677369	-3.0929174305	0.0223190662	0.0231476124
1961.75	0.0666634409	-3.5715535940	-3.1564851800	0.0265542932	0.0183925895
1962.00	-0.0291766498	-3.5388831531	-3.1202055036	0.0274984287	0.0165165294
1962.25	-0.2467199637	-3.2946384255	-2.8717785643	0.0289858226	0.0130887373
1962.50	0.0272340342	-3.3384593037	-2.8897677108	0.0273914066	0.0154951998
1962.75	0.1110281408	-3.4161693009	-2.9942278590	0.0292383626	0.0124136463
1963.00	0.0534388141	-3.4597849110	-3.0376846699	0.0290829609	0.0129153711
1963.25	0.0404964506	-3.4671441034	-3.0685215471	0.0298791393	0.0120166492
1963.50	0.0293696663	-3.4808674880	-3.0906868681	0.0338408832	0.0084528427
1963.75	0.0343318524	-3.4908949243	-3.1244385205	0.0352223457	0.0083432855
1964.00	0.0507120296	-3.5246295440	-3.1635981704	0.0352706141	0.0081959787
1964.25	0.0275930424	-3.5274398534	-3.1846121973	0.0343337916	0.0096141169
1964.50	0.0295986817	-3.5305996077	-3.2011262309	0.0354154052	0.0086274177
1964.75	0.0061291745	-3.5244973894	-3.1949749495	0.0374402830	0.0097466940
1965.00	0.0253690190	-3.5365000581	-3.1991665076	0.0391630192	0.0060708709
1965.25	-0.0347722440	-3.4923534659	-3.1637486505	0.0379314208	0.0065020422
1965.50	0.0687533672	-3.5441327546	-3.2200993387	0.0400472945	0.0051221660
1965.75	0.0351704737	-3.5516226445	-3.2363240368	0.0446195746	0.0039627515
1966.00	-0.0294186899	-3.5075484942	-3.1898002369	0.0449160026	0.0047960806
1966.25	-0.0517989228	-3.4366623406	-3.1255952958	0.0454512629	0.0052483540
1966.50	-0.1097969864	-3.3191055391	-3.0104031067	0.0527916713	0.0031616902
1966.75	0.0493810882	-3.3759597606	-3.0443886237	0.0477991971	0.0087678061
1967.00	0.1223657185	-3.4795073995	-3.1469677684	0.0398551273	0.0102108042
1967.25	0.0171149391	-3.4891581250	-3.1395929618	0.0392207132	0.0165724554
1967.50	0.0647343049	-3.5372296433	-3.1928247784	0.0435861707	0.0142611709
1967.75	0.0007149689	-3.5342059515	-3.1780745624	0.0499513944	0.0175463931
1968.00	-0.0789630503	-3.4601907787	-3.0966680032	0.0505505186	0.0119264599
1968.25	0.1142957623	-3.5622678418	-3.1795411781	0.0525355225	0.0094061620
1968.50	0.0248334313	-3.5823650371	-3.1934636656	0.0503033045	0.0076540169
1968.75	0.0183393624	-3.6056276262	-3.1880983309	0.0617345938	0.0033027708
1969.00	-0.0482770933	-3.5557254712	-3.1495218062	0.0592024345	0.0140334331
1969.25	-0.0598838280	-3.4979662175	-3.0974491777	0.0620165938	0.0046753356
1969.50	-0.0574590017	-3.4507517422	-3.0354943703	0.0683499982	0.0018217068
1969.75	-0.0165174998	-3.4471680067	-3.0107808489	0.0785708558	0.0086990717
1970.00	-0.0477958531	-3.4116553994	-2.9717555965	0.0620635860	0.0133021027
1970.25	-0.2493463686	-3.1950863058	-2.7504483994	0.0621669612	0.0237873256
1970.50	0.1493985392	-3.3436376880	-2.8870321449	0.0575611105	0.0212341260
1970.75	0.0731243130	-3.4173567164	-2.9662208835	0.0479517175	0.0301891569
1971.00	0.0984958865	-3.5168263187	-3.0399099236	0.0339375510	0.0361265404
1971.25	-0.0089210056	-3.4971612936	-3.0219506232	0.0515197687	0.0246510397
1971.50	-0.0186455166	-3.4979514474	-2.9960373842	0.0452601314	0.0274488741
1971.75	0.0309658484	-3.5369312982	-3.0207763535	0.0366019024	0.0370315959
1972.00	0.0583940699	-3.6056040875	-3.0574389872	0.0373921192	0.0356619654
1972.25	-0.0094628442	-3.5994285878	-3.0445527723	0.0399512155	0.0341974468
1972.50	0.0130359260	-3.6170103463	-3.0631756580	0.0451549935	0.0263753837
1972.75	0.0566875820	-3.6741717587	-3.1155981630	0.0503508504	0.0208833381
1973.00	-0.0884622525	-3.5918593103	-3.0440472995	0.0629841888	0.0132762957
1973.25	-0.0947800569	-3.4930649035	-2.9609055793	0.0734827768	-0.0006145080
1973.50	0.0527119314	-3.5351813656	-2.9829944152	0.0685741172	0.0027446346
1973.75	-0.1308854400	-3.3835076825	-2.8585810948	0.0732225803	0.0029389355
1974.00	-0.0352911823	-3.3355461976	-2.8027912728	0.0810913884	-0.0045263576
1974.25	-0.1279330677	-3.1992600356	-2.6948958215	0.0720415529	0.0073004844
1974.50	-0.3020437003	-2.9137395985	-2.3724467486	0.0627118538	0.0285057136
1974.75	0.0657002693	-2.9822638293	-2.4303405663	0.0693674680	0.0218458557
1975.00	0.1982236350	-3.1578252716	-2.6103001456	0.0548385027	0.0317492920
1975.25	0.1357639784	-3.2737114886	-2.7303583282	0.0590233404	0.0290943519
1975.50	-0.1385140667	-3.1200794801	-2.5926148179	0.0648322280	0.0246990376
1975.75	0.0581071962	-3.1846485250	-2.6542908569	0.0515197687	0.0338223133
1976.00	0.1376257751	-3.3194097942	-2.7718689269	0.0492757605	0.0353006514
1976.25	0.0126295803	-3.3147173805	-2.7718218510	0.0531805125	0.0310801209
1976.50	0.0024188174	-3.2817645516	-2.7656195250	0.0502462464	0.0309025724
1976.75	0.0273136196	-3.2484245203	-2.7701721396	0.0430978029	0.0350870201
1977.00	-0.0769636172	-3.1428162479	-2.6652508903	0.0450594040	0.0334773857
1977.25	0.0303146479	-3.1333983782	-2.6675546930	0.0494661261	0.0281936391
1977.50	-0.0417561864	-3.0704808462	-2.6082461174	0.0583255103	0.0196979256
1977.75	-0.0067063740	-3.0426410440	-2.5739619840	0.0605587373	0.0227732984
1978.00	-0.0542129432	-2.9578777948	-2.4913052862	0.0639414679	0.0183568213
1978.25	0.0707939062	-3.0164406644	-2.5407777232	0.0691528587	0.0204354130
1978.50	0.0710148924	-3.0685944272	-2.5921543882	0.0783674591	0.0061926560
1978.75	-0.0834769223	-2.9653485332	-2.5062226472	0.0905534298	0.0067283376
1979.00	0.0577069702	-2.9993821267	-2.5381031016	0.0922600784	-0.0024838834
1979.25	0.0135487019	-2.9836087297	-2.5259776793	0.0876170269	0.0027487648
1979.50	0.0560085960	-3.0178213253	-2.5602016810	0.0987768911	-0.0076370644
1979.75	-0.0163018035	-2.9843936510	-2.5209861095	0.1155850663	0.0126862355
1980.00	-0.0849442154	-2.9130860207	-2.4378111046	0.1432168369	-0.0183417346
1980.25	0.1004925484	-3.0200293995	-2.5241924911	0.0778217817	0.0404057160
1980.50	0.0955207000	-3.0899706054	-2.5928476747	0.1110403548	0.0109957798
1980.75	0.0539259792	-3.1564253358	-2.6462650342	0.1373939234	0.0060424215
1981.00	-0.0221873763	-3.1118403958	-2.6240165989	0.1204372878	0.0027656669
1981.25	-0.0455125161	-3.0761125616	-2.5638924511	0.1372370183	-0.0057941703
1981.50	-0.1618592952	-2.9409037238	-2.4181783477	0.1389529196	0.0130118139
1981.75	0.0335102936	-2.9856211672	-2.4484909214	0.1075261689	0.0410481720
1982.00	-0.1165506153	-2.8771229773	-2.3370920317	0.1271787573	0.0101667096
1982.25	-0.0444590764	-2.8429862722	-2.2971033838	0.1232878563	0.0267548804
1982.50	0.0696802333	-2.9037654824	-2.3744693567	0.0749312046	0.0538503155
1982.75	0.1512355671	-3.0495230223	-2.5159069769	0.0777015077	0.0342932326
1983.00	0.0786083483	-3.1129305546	-2.5875903121	0.0846719761	0.0286716992
1983.25	0.0936452961	-3.2011894703	-2.6704503333	0.0860033691	0.0276289491
1983.50	-0.0286264178	-3.1821205195	-2.6462609094	0.0853333031	0.0326993520
1983.75	-0.0253364774	-3.1565757333	-2.6269889320	0.0878002324	0.0355079728
