time	ret	ldp	lep	rf	yield
1950.5000	0.0148409144	-2.7887214173	-2.5648092328	0.0116123153	0.0147601259
1950.5833	0.0481392243	-2.7661855603	-2.5862938895	0.0130149371	0.0130168151
1950.6667	0.0466225849	-2.7910790606	-2.6303039784	0.0132123315	0.0130524680
1950.7500	-0.0026296896	-2.7831742170	-2.6235862288	0.0133702189	0.0136507503
1950.8333	0.0275202448	-2.7163854022	-2.6118550861	0.0138141438	0.0128414253
1950.9167	0.0545229285	-2.7564210383	-2.6463597728	0.0135675432	0.0129006220
1951.0000	0.0550585791	-2.8043496134	-2.6967454584	0.0136661908	0.0129018868
1951.0833	0.0139814233	-2.7946917027	-2.6942128935	0.0137648286	0.0131979521
1951.1667	-0.0223226482	-2.7628529591	-2.6667983924	0.0150757871	0.0126699236
1951.2500	0.0472614449	-2.8102172632	-2.7055455383	0.0146718402	0.0146888657
1951.3333	-0.0239893151	-2.7545001985	-2.6559353344	0.0151250377	0.0141338192
1951.4167	-0.0266912239	-2.7219369656	-2.6214414576	0.0156764794	0.0141170528
1951.5000	0.0670906532	-2.7880006569	-2.6810736134	0.0161292219	0.0138707705
1951.5833	0.0428249778	-2.8267020404	-2.7128404360	0.0163751917	0.0127855087
1951.6667	0.0077649885	-2.8370562494	-2.7052596015	0.0165719240	0.0119536976
1951.7500	-0.0241122680	-2.8043081998	-2.6835064503	0.0156272559	0.0156332769
1951.8333	0.0048966342	-2.8661466173	-2.6730493122	0.0160209761	0.0153167830
1951.9167	0.0330553810	-2.9114625593	-2.7034331939	0.0177318573	0.0128086007
1952.0000	0.0153893992	-2.9294061722	-2.7120753533	0.0156272559	0.0157576052
1952.0833	-0.0262859576	-2.8760814076	-2.6678215483	0.0160209761	0.0165255777
1952.1667	0.0433376492	-2.9199502760	-2.7073529511	0.0152235318	0.0148139261
1952.2500	-0.0511770230	-2.8629581570	-2.6564836673	0.0167292820	0.0127792581
1952.3333	0.0307306628	-2.8853827377	-2.6719086317	0.0174763943	0.0120710079
1952.4167	0.0371446030	-2.9201841101	-2.7101557817	0.0175255269	0.0114800606
1952.5000	0.0103178897	-2.9246471448	-2.7207655098	0.0187726853	0.0111252802
1952.5833	-0.0084592101	-2.9200673161	-2.6992435999	0.0184782212	0.0121189912
1952.6667	-0.0209858657	-2.8911151568	-2.6724393169	0.0169259446	0.0139679097
1952.7500	-0.0065398380	-2.8889602687	-2.6646707229	0.0177711535	0.0155557605
1952.8333	0.0562355580	-2.9441018436	-2.7037161840	0.0197241928	0.0112594997
1952.9167	0.0290200673	-2.9701079936	-2.7318178992	0.0201261044	0.0099159525
1953.0000	-0.0032723227	-2.9749444795	-2.7181525955	0.0196261411	0.0116478493
1953.0833	-0.0030331463	-2.9568440317	-2.6933479273	0.0210273672	0.0101414814
1953.1667	-0.0153030031	-2.9409132737	-2.6628020067	0.0203808914	0.0110283943
1953.2500	-0.0293985065	-2.9163106473	-2.6345022477	0.0224657447	0.0111928927
1953.3333	0.0049867012	-2.9140480396	-2.6197540083	0.0224168543	0.0137578412
1953.4167	-0.0182173953	-2.8892865192	-2.5966513002	0.0200280921	0.0168333456
1953.5000	0.0234998405	-2.9128747386	-2.6150977566	0.0209686139	0.0131770649
